,COUNTRY,HAPPINESS_SCORE,LOG_OF_GDP_PER_PERSON,GDP_PER_PERSON,HEALTHY_LIFE_EXPECTANCY,SOCIAL_SUPPORT,FREEDOM,GENEROSITY,PERCEPTIONS_OF_CORRUPTION,PREDICTED_HAPPINESS
0,Afghanistan,3.632,7.462609768,1741.6875,52.01332855,0.525074542,0.445294231,0.179053545,0.879704535,UNHAPPY
1,Albania,4.586,9.338126183,11363.0957,68.87155151,0.639576375,0.726340234,0.259975374,0.886778414,UNHAPPY
2,Algeria,5.295,9.54070282,13914.72363,65.6048584,0.776976705,0.439177334,0.128987744,0.698342979,NORMAL
3,Angola,3.795,8.741956711,6260.132813,52.46070862,0.765275478,0.374172747,0.10682857,0.83354044,UNHAPPY
4,Argentina,6.388,9.842000961,18807.31055,67.39848328,0.905564666,0.85338968,0.16317381,0.847881675,HAPPY
5,Armenia,4.321,9.018901825,8257.704102,64.96247864,0.710184693,0.592957973,0.122583561,0.895624936,UNHAPPY
6,Australia,7.272,10.70041943,44374.46484,72.65029907,0.948141158,0.918003738,0.694878876,0.388529062,HAPPY
7,Austria,7.139,10.70491695,44574.48828,72.04956818,0.920177042,0.893371582,0.509860396,0.533494234,HAPPY
8,Azerbaijan,5.201,9.685745239,16086.65332,62.96974945,0.779933214,0.73573947,0.104108624,0.620859325,NORMAL
9,Bangladesh,4.5,8.106625557,3316.368164,62.20355988,0.652717888,0.861735761,0.170758501,0.681194186,UNHAPPY
10,Belarus,5.483,9.733157158,16867.72266,66.03050995,0.917586327,0.632646799,0.217487231,0.661701798,NORMAL
11,Belgium,6.927,10.64765549,42093.78906,72.14292908,0.911503732,0.864310026,0.421579719,0.502901018,HAPPY
12,Belize,5.956,8.987882614,8005.488281,58.92390823,0.755414307,0.872770309,0.286091298,0.783099353,NORMAL
13,Benin,4.141,7.610313416,2018.910767,51.5617981,0.457777113,0.744072258,0.149063423,0.823281527,UNHAPPY
14,Bhutan,5.082,8.954587936,7743.336426,60.56794357,0.850920916,0.829656422,0.563592196,0.631327808,NORMAL
15,Bolivia,5.752,8.809252739,6695.913574,59.99578857,0.805337012,0.883693457,0.209027827,0.847298145,NORMAL
16,Bosnia and Herzegovina,5.129,9.335348129,11331.57227,67.83827209,0.74608314,0.609956622,0.363586843,0.946652532,NORMAL
17,Botswana,3.59,9.661838531,15706.63574,57.10570526,0.785132468,0.842526436,0.119786821,0.77634877,UNHAPPY
18,Brazil,6.419,9.563308716,14232.86133,65.244133,0.90800184,0.789254189,0.217360467,0.784572959,HAPPY
19,Bulgaria,4.933,9.783441544,17737.5918,66.4154892,0.924724042,0.675944567,0.162422732,0.929407775,UNHAPPY
20,Burkina Faso,4.424,7.404325962,1643.077026,51.99110031,0.753720284,0.636307597,0.152457878,0.710499942,UNHAPPY
21,Burundi,2.905,6.688570023,803.1729126,48.56855774,0.56173259,0.428722262,0.054393403,0.806447208,UNHAPPY
22,Cambodia,4.433,8.159075737,3494.954834,58.37112808,0.750254333,0.959941328,0.336479425,0.826803446,UNHAPPY
23,Cameroon,4.975,8.114089012,3341.212402,49.73516464,0.66957283,0.755737603,0.220446259,0.866538763,UNHAPPY
24,Canada,7.328,10.66978168,43035.54688,72.19080353,0.931540191,0.923505962,0.625681043,0.40965575,HAPPY
25,Central African Republic,3.083,6.473706245,647.8804932,44.31241989,0.305565357,0.630962014,0.167455778,0.875871241,UNHAPPY
26,Chad,4.301,7.546162128,1893.461914,45.65771484,0.676192522,0.533072293,0.171422482,0.835992634,UNHAPPY
27,Chile,6.476,10.0303154,22704.43164,69.43771362,0.849452078,0.736905336,0.387090564,0.834768057,HAPPY
28,Colombia,6.26,9.48151207,13115.00195,63.98257065,0.893501878,0.821186841,0.191339627,0.873871207,HAPPY
29,Congo (Brazzaville),4.559,8.586006165,5356.179199,54.78947067,0.636860967,0.806351066,0.112148799,0.803959429,UNHAPPY
30,Congo (Kinshasa),4.245,6.619260788,749.3909302,50.42560196,0.769605279,0.636904776,0.123985462,0.850198269,UNHAPPY
31,Costa Rica,7.072,9.64099884,15382.70117,69.69971466,0.901704073,0.905381024,0.274674296,0.760924518,HAPPY
32,Croatia,5.321,9.977690697,21540.51172,67.19174194,0.77996558,0.694128335,0.2640149,0.874756753,NORMAL
33,Cyprus,5.762,10.34348869,31054.17969,72.60899353,0.792133808,0.729775667,0.422272146,0.882088602,NORMAL
34,Czech Republic,6.711,10.35843086,31521.67969,70.87612152,0.91413635,0.830621243,0.206805915,0.884560943,HAPPY
35,Denmark,7.555,10.73639584,45999.96094,71.31227112,0.955462277,0.948895276,0.579054058,0.193662241,HAPPY
36,Dominican Republic,5.302,9.549773216,14041.50977,63.33527756,0.89428401,0.860594034,0.230584472,0.751462996,NORMAL
37,Ecuador,5.973,9.252638817,10432.05762,67.146492,0.849092364,0.841979861,0.198478401,0.724856436,NORMAL
38,Egypt,4.419,9.240495682,10306.14551,61.41292572,0.724412739,0.636678874,0.164250925,0.749844432,UNHAPPY
39,El Salvador,6.167,8.984984398,7982.320313,64.09542847,0.808451772,0.761672378,0.101884641,0.794663727,HAPPY
40,Estonia,5.739,10.2510128,28311.20117,67.19956207,0.931745052,0.839159548,0.232368931,0.625703633,NORMAL
41,Ethiopia,4.35,7.385899067,1613.077393,56.29846573,0.693872035,0.754294395,0.220371321,0.677075565,UNHAPPY
42,Finland,7.632,10.58847332,39674.87109,71.51750183,0.95614934,0.946693718,0.421380997,0.221270055,HAPPY
43,France,6.489,10.54893684,38136.87109,72.58893585,0.904789925,0.811832786,0.273441076,0.622337937,HAPPY
44,Gabon,4.758,9.72511673,16732.64258,56.71204758,0.781012475,0.673866689,0.107504159,0.851480901,UNHAPPY
45,Georgia,4.34,9.137402534,9296.585938,64.21975708,0.547448337,0.68998462,0.07200601,0.55025655,UNHAPPY
46,Germany,6.965,10.69935513,44327.26172,71.07910156,0.908021033,0.867221892,0.558219731,0.430079073,HAPPY
47,Ghana,4.657,8.297337532,4013.173096,54.60906219,0.671591341,0.793514252,0.277398497,0.893568754,UNHAPPY
48,Greece,5.358,10.10256386,24405.50195,71.64774323,0.796696246,0.484304935,0.086994521,0.864572704,NORMAL
