Happiness Rank,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Year
1.0,Switzerland,Western Europe,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2015
2.0,Iceland,Western Europe,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2015
3.0,Denmark,Western Europe,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2015
4.0,Norway,Western Europe,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2015
5.0,Canada,North America,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2015
6.0,Finland,Western Europe,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2015
7.0,Netherlands,Western Europe,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2015
8.0,Sweden,Western Europe,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2015
9.0,New Zealand,Australia and New Zealand,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2015
10.0,Australia,Australia and New Zealand,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2015
11.0,Israel,Middle East and Northern Africa,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,2015
12.0,Costa Rica,Latin America and Caribbean,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,2015
13.0,Austria,Western Europe,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2015
14.0,Mexico,Latin America and Caribbean,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,2015
15.0,United States,North America,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2015
16.0,Brazil,Latin America and Caribbean,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,2015
17.0,Luxembourg,Western Europe,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,2015
18.0,Ireland,Western Europe,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,2015
19.0,Belgium,Western Europe,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2015
20.0,United Arab Emirates,Middle East and Northern Africa,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2015
21.0,United Kingdom,Western Europe,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,2015
22.0,Oman,Middle East and Northern Africa,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2015
23.0,Venezuela,Latin America and Caribbean,6.81,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,2015
24.0,Singapore,Southeastern Asia,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,2015
25.0,Panama,Latin America and Caribbean,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2015
26.0,Germany,Western Europe,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2015
27.0,Chile,Latin America and Caribbean,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2015
28.0,Qatar,Middle East and Northern Africa,6.611,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,2015
29.0,France,Western Europe,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2015
30.0,Argentina,Latin America and Caribbean,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2015
31.0,Czech Republic,Central and Eastern Europe,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2015
32.0,Uruguay,Latin America and Caribbean,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2015
33.0,Colombia,Latin America and Caribbean,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2015
34.0,Thailand,Southeastern Asia,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2015
35.0,Saudi Arabia,Middle East and Northern Africa,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,2015
36.0,Spain,Western Europe,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2015
37.0,Malta,Western Europe,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,2015
38.0,Taiwan,Eastern Asia,6.298,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2015
39.0,Kuwait,Middle East and Northern Africa,6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,2015
40.0,Suriname,Latin America and Caribbean,6.269,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,2015
41.0,Trinidad and Tobago,Latin America and Caribbean,6.168,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2015
42.0,El Salvador,Latin America and Caribbean,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,2015
43.0,Guatemala,Latin America and Caribbean,6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2015
44.0,Uzbekistan,Central and Eastern Europe,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,2015
45.0,Slovakia,Central and Eastern Europe,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,2015
46.0,Japan,Eastern Asia,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,2015
47.0,South Korea,Eastern Asia,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2015
48.0,Ecuador,Latin America and Caribbean,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,2015
49.0,Bahrain,Middle East and Northern Africa,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,2015
50.0,Italy,Western Europe,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2015
51.0,Bolivia,Latin America and Caribbean,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2015
52.0,Moldova,Central and Eastern Europe,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,2015
53.0,Paraguay,Latin America and Caribbean,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,2015
54.0,Kazakhstan,Central and Eastern Europe,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2015
55.0,Slovenia,Central and Eastern Europe,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,2015
56.0,Lithuania,Central and Eastern Europe,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,2015
57.0,Nicaragua,Latin America and Caribbean,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2015
58.0,Peru,Latin America and Caribbean,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,2015
59.0,Belarus,Central and Eastern Europe,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2015
60.0,Poland,Central and Eastern Europe,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,2015
61.0,Malaysia,Southeastern Asia,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,2015
62.0,Croatia,Central and Eastern Europe,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2015
63.0,Libya,Middle East and Northern Africa,5.754,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,2015
64.0,Russian Federation,Central and Eastern Europe,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2015
65.0,Jamaica,Latin America and Caribbean,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,2015
66.0,North Cyprus,Western Europe,5.695,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,2015
67.0,Cyprus,Western Europe,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,2015
68.0,Algeria,Middle East and Northern Africa,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2015
69.0,Kosovo,Central and Eastern Europe,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2015
70.0,Turkmenistan,Central and Eastern Europe,5.548,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,2015
71.0,Mauritius,Sub-Saharan Africa,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,2015
72.0,Hong Kong,Eastern Asia,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,2015
73.0,Estonia,Central and Eastern Europe,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,2015
74.0,Indonesia,Southeastern Asia,5.399,0.82827,1.08708,0.63793,0.46611,0.0,0.51535,2015
75.0,Vietnam,Southeastern Asia,5.36,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,2015
76.0,Turkey,Middle East and Northern Africa,5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2015
77.0,Kyrgyzstan,Central and Eastern Europe,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2015
78.0,Nigeria,Sub-Saharan Africa,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,2015
79.0,Bhutan,Southern Asia,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,2015
80.0,Azerbaijan,Central and Eastern Europe,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2015
81.0,Pakistan,Southern Asia,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,2015
82.0,Jordan,Middle East and Northern Africa,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,2015
82.0,Montenegro,Central and Eastern Europe,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2015
84.0,China,Eastern Asia,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,2015
85.0,Zambia,Sub-Saharan Africa,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2015
86.0,Romania,Central and Eastern Europe,5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,2015
87.0,Serbia,Central and Eastern Europe,5.123,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,2015
88.0,Portugal,Western Europe,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,2015
89.0,Latvia,Central and Eastern Europe,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,2015
90.0,Philippines,Southeastern Asia,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,2015
91.0,Somaliland region,Sub-Saharan Africa,5.057,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,2015
92.0,Morocco,Middle East and Northern Africa,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,2015
93.0,Macedonia,Central and Eastern Europe,5.007,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,2015
94.0,Mozambique,Sub-Saharan Africa,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,2015
95.0,Albania,Central and Eastern Europe,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,2015
96.0,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2015
97.0,Lesotho,Sub-Saharan Africa,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,2015
98.0,Dominican Republic,Latin America and Caribbean,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,2015
99.0,Laos,Southeastern Asia,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,2015
100.0,Mongolia,Eastern Asia,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,2015
101.0,Swaziland,Sub-Saharan Africa,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2015
102.0,Greece,Western Europe,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0.0,2015
103.0,Lebanon,Middle East and Northern Africa,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,2015
104.0,Hungary,Central and Eastern Europe,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,2015
105.0,Honduras,Latin America and Caribbean,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,2015
106.0,Tajikistan,Central and Eastern Europe,4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,2015
107.0,Tunisia,Middle East and Northern Africa,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2015
108.0,Palestine,Middle East and Northern Africa,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,2015
109.0,Bangladesh,Southern Asia,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2015
110.0,Iran,Middle East and Northern Africa,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,2015
111.0,Ukraine,Central and Eastern Europe,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,2015
112.0,Iraq,Middle East and Northern Africa,4.677,0.98549,0.81889,0.60237,0.0,0.13788,0.17922,2015
113.0,South Africa,Sub-Saharan Africa,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,2015
114.0,Ghana,Sub-Saharan Africa,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,2015
115.0,Zimbabwe,Sub-Saharan Africa,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2015
116.0,Liberia,Sub-Saharan Africa,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,2015
117.0,India,Southern Asia,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,2015
118.0,Sudan,Sub-Saharan Africa,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2015
119.0,Haiti,Latin America and Caribbean,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2015
120.0,Congo,Sub-Saharan Africa,4.517,0.0,1.0012,0.09806,0.22605,0.07625,0.24834,2015
121.0,Nepal,Southern Asia,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,2015
122.0,Ethiopia,Sub-Saharan Africa,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2015
123.0,Sierra Leone,Sub-Saharan Africa,4.507,0.33024,0.95571,0.0,0.4084,0.08786,0.21488,2015
124.0,Mauritania,Sub-Saharan Africa,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,2015
125.0,Kenya,Sub-Saharan Africa,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,2015
